sku,range,size,description,itemAud,shipAud,totalAud,lab,carrier,printAreaPx
GLOBAL-BOX-A1,GLOBAL-BOX,A1,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 59x84cm/23x33""",140.00,21.55,161.55,au6,Australia Post,7020x9930
GLOBAL-BOX-16x16,GLOBAL-BOX,16x16,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 40x40cm/16x16""",68.79,99.07,167.86,prodigi_gb3,DHL Express,4800x4800
GLOBAL-BOX-30x30,GLOBAL-BOX,30x30,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 76x76cm/30x30""",150.00,21.55,171.55,au6,Australia Post,9000x9000
GLOBAL-BOX-28x40,GLOBAL-BOX,28x40,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 70x100cm/28x40""",160.00,108.00,268.00,au6,Australia Post,8400x12000
GLOBAL-BOX-30x40,GLOBAL-BOX,30x40,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 76x101cm/30x40""",170.00,108.00,278.00,au6,Australia Post,9000x12000
GLOBAL-BOX-20x30,GLOBAL-BOX,20x30,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 50x76cm/20x30""",107.03,216.68,323.71,prodigi_gb3,DHL Express,6000x9000
GLOBAL-BOX-24x32,GLOBAL-BOX,24x32,"Box Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 60x81cm/24x32""",114.64,216.68,331.32,prodigi_gb3,DHL Express,7200x9600
GLOBAL-BOXM-A5,GLOBAL-BOXM,A5,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 14.8x21cm/5.8x8.3""",58.00,15.10,73.10,au6,Australia Post,862x1594
GLOBAL-BOXM-8x8,GLOBAL-BOXM,8x8,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 20x20cm/8x8""",64.00,15.10,79.10,au6,Australia Post,1200x1200
GLOBAL-BOXM-8x10,GLOBAL-BOXM,8x10,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 20x25cm/8x10""",65.00,15.10,80.10,au6,Australia Post,1800x2400
GLOBAL-BOXM-A4,GLOBAL-BOXM,A4,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 21x29cm/8x12""",66.00,15.10,81.10,au6,Australia Post,1590x2490
GLOBAL-BOXM-12x12,GLOBAL-BOXM,12x12,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 30x30cm/12x12""",70.00,15.10,85.10,au6,Australia Post,2700x2700
